"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20241201","1호선","종각","16268","14378","20241204",""
"20241201","1호선","시청","12916","11878","20241204",""
"20241201","1호선","서울역","40617","39523","20241204",""
"20241201","2호선","역삼","13249","14046","20241204",""
"20241201","2호선","선릉","17550","15021","20241204",""
"20241201","2호선","삼성(무역센터)","30386","27571","20241204",""
"20241201","2호선","종합운동장","6654","7510","20241204",""
"20241201","2호선","방배","7941","8070","20241204",""
"20241201","2호선","사당","28429","29778","20241204",""
"20241201","2호선","낙성대(강감찬)","17558","18461","20241204",""
"20241201","2호선","서울대입구(관악구청)","28907","29261","20241204",""
"20241201","2호선","봉천","14502","14031","20241204",""
"20241201","2호선","신림","38271","37360","20241204",""
"20241201","2호선","신대방","17501","17029","20241204",""
"20241201","2호선","구로디지털단지","29034","28449","20241204",""
"20241201","2호선","대림(구로구청)","18166","18365","20241204",""
"20241201","2호선","신도림","37521","36718","20241204",""
"20241201","2호선","문래","11323","11997","20241204",""
"20241201","2호선","영등포구청","11214","11633","20241204",""
"20241201","2호선","당산","10235","10784","20241204",""
"20241201","2호선","합정","25717","27282","20241204",""
"20241201","2호선","홍대입구","72874","74022","20241204",""
"20241201","경원선","창동","1","0","20241204",""
"20241201","1호선","청량리(서울시립대입구)","17020","16950","20241204",""
"20241201","1호선","동묘앞","14249","14549","20241204",""
"20241201","2호선","시청","9295","7064","20241204",""
"20241201","2호선","을지로입구","29370","28308","20241204",""
"20241201","2호선","을지로3가","12862","12712","20241204",""
"20241201","2호선","을지로4가","6224","6024","20241204",""
"20241201","2호선","동대문역사문화공원(DDP)","13171","15721","20241204",""
"20241201","2호선","신당","10663","11187","20241204",""
"20241201","2호선","상왕십리","8513","8351","20241204",""
"20241201","2호선","왕십리(성동구청)","10633","10400","20241204",""
"20241201","2호선","한양대","3633","4072","20241204",""
"20241201","2호선","뚝섬","17429","16989","20241204",""
"20241201","2호선","성수","37117","39948","20241204",""
"20241201","2호선","건대입구","29987","30253","20241204",""
"20241201","2호선","구의(광진구청)","14149","14141","20241204",""
"20241201","2호선","강변(동서울터미널)","22274","22493","20241204",""
"20241201","2호선","잠실나루","5969","5945","20241204",""
"20241201","2호선","잠실(송파구청)","63085","60374","20241204",""
"20241201","2호선","신촌","28400","28744","20241204",""
"20241201","2호선","이대","12409","13696","20241204",""
"20241201","2호선","아현","6728","6544","20241204",""
"20241201","2호선","충정로(경기대입구)","4626","5375","20241204",""
"20241201","2호선","용답","2016","2126","20241204",""
"20241201","2호선","신답","928","1007","20241204",""
"20241201","2호선","신설동","3714","3610","20241204",""
"20241201","2호선","도림천","592","657","20241204",""
"20241201","2호선","양천구청","3909","3956","20241204",""
"20241201","2호선","신정네거리","6021","6084","20241204",""
"20241201","2호선","용두(동대문구청)","1474","1553","20241204",""
"20241201","3호선","지축","4508","4359","20241204",""
"20241201","3호선","구파발","13809","13696","20241204",""
"20241201","3호선","연신내","21904","21055","20241204",""
"20241201","3호선","불광","10964","12195","20241204",""
"20241201","3호선","녹번","8222","7550","20241204",""
"20241201","3호선","홍제","11264","10485","20241204",""
"20241201","3호선","무악재","2326","2428","20241204",""
"20241201","3호선","독립문","5233","5720","20241204",""
"20241201","3호선","경복궁(정부서울청사)","15992","16354","20241204",""
"20241201","3호선","안국","16482","17223","20241204",""
"20241201","3호선","종로3가","5971","6649","20241204",""
"20241201","3호선","을지로3가","5575","5062","20241204",""
"20241201","3호선","충무로","2","0","20241204",""
"20241201","3호선","동대입구","8502","9571","20241204",""
"20241201","3호선","약수","7909","7752","20241204",""
"20241201","3호선","금호","4805","4667","20241204",""
"20241201","3호선","옥수","5819","5979","20241204",""
"20241201","3호선","압구정","17314","17772","20241204",""
"20241201","3호선","신사","13809","13854","20241204",""
"20241201","3호선","잠원","2774","2659","20241204",""
"20241201","3호선","고속터미널","53566","50211","20241204",""
"20241201","3호선","교대(법원.검찰청)","6664","3546","20241204",""
"20241201","3호선","남부터미널(예술의전당)","18231","19126","20241204",""
"20241201","3호선","양재(서초구청)","16569","18754","20241204",""
"20241201","3호선","매봉","5208","5107","20241204",""
"20241201","3호선","도곡","2776","2879","20241204",""
"20241201","3호선","대치","5847","5432","20241204",""
"20241201","3호선","학여울","2321","2544","20241204",""
"20241201","3호선","대청","5225","5178","20241204",""
"20241201","3호선","일원","4955","4912","20241204",""
"20241201","3호선","수서","13129","13100","20241204",""
"20241201","3호선","가락시장","4972","5054","20241204",""
"20241201","3호선","경찰병원","3238","3331","20241204",""
"20241201","3호선","오금","3376","3340","20241204",""
"20241201","4호선","당고개","6322","5933","20241204",""
"20241201","4호선","상계","12136","11001","20241204",""
"20241201","4호선","노원","14674","15568","20241204",""
"20241201","4호선","창동","18238","18857","20241204",""
"20241201","4호선","쌍문","18477","16954","20241204",""
"20241201","4호선","수유(강북구청)","23459","22634","20241204",""
"20241201","4호선","미아(서울사이버대학)","9460","8808","20241204",""
"20241201","4호선","미아사거리","17733","17167","20241204",""
"20241201","4호선","길음","12371","12339","20241204",""
"20241201","4호선","성신여대입구(돈암)","15347","15196","20241204",""
"20241201","4호선","한성대입구(삼선교)","9509","9551","20241204",""
"20241201","4호선","혜화","28258","28702","20241204",""
"20241201","4호선","동대문","10721","11614","20241204",""
"20241201","4호선","동대문역사문화공원(DDP)","15358","13496","20241204",""
"20241201","4호선","충무로","14126","14291","20241204",""
"20241201","4호선","명동","32182","34419","20241204",""
"20241201","4호선","회현(남대문시장)","12926","13288","20241204",""
"20241201","4호선","서울역","6729","18085","20241204",""
"20241201","4호선","숙대입구(갈월)","10574","10187","20241204",""
"20241201","4호선","삼각지","5040","6175","20241204",""
"20241201","4호선","신용산","14406","15192","20241204",""
"20241201","4호선","이촌(국립중앙박물관)","7381","7874","20241204",""
"20241201","4호선","동작(현충원)","929","982","20241204",""
"20241201","4호선","총신대입구(이수)","11842","12918","20241204",""
"20241201","4호선","사당","17911","17536","20241204",""
"20241201","4호선","남태령","831","636","20241204",""
"20241201","5호선","방화","4170","4207","20241204",""
"20241201","5호선","개화산","3362","3317","20241204",""
"20241201","5호선","김포공항","11046","7265","20241204",""
"20241201","5호선","송정","4074","4053","20241204",""
"20241201","5호선","마곡","4890","5160","20241204",""
"20241201","5호선","발산","12714","12909","20241204",""
"20241201","5호선","우장산","8096","8219","20241204",""
"20241201","5호선","화곡","16290","15440","20241204",""
"20241201","5호선","까치산","16933","16451","20241204",""
"20241201","5호선","신정(은행정)","7124","6349","20241204",""
"20241201","5호선","목동","9182","9344","20241204",""
"20241201","5호선","오목교(목동운동장앞)","16851","16942","20241204",""
"20241201","5호선","양평","3459","3548","20241204",""
"20241201","5호선","영등포구청","2180","2161","20241204",""
"20241201","5호선","영등포시장","7809","8122","20241204",""
"20241201","5호선","신길","3013","3111","20241204",""
"20241201","5호선","여의도","11401","11401","20241204",""
"20241201","5호선","여의나루","9952","12740","20241204",""
"20241201","5호선","마포","6507","6525","20241204",""
"20241201","5호선","공덕","5968","5942","20241204",""
"20241201","5호선","애오개","3158","3175","20241204",""
"20241201","5호선","충정로(경기대입구)","1745","1759","20241204",""
"20241201","5호선","서대문","5909","6159","20241204",""
"20241201","5호선","광화문(세종문화회관)","14702","15209","20241204",""
"20241201","5호선","종로3가","10811","9960","20241204",""
"20241201","5호선","을지로4가","2248","2223","20241204",""
"20241201","5호선","동대문역사문화공원(DDP)","1245","1467","20241204",""
