사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20250201,1호선,서울역,56802,45819,20250204
20250201,1호선,시청,31681,29724,20250204
20250201,1호선,종각,27189,25388,20250204
20250201,1호선,종로3가,25776,23449,20250204
20250201,1호선,종로5가,20211,20055,20250204
20250201,1호선,동대문,10712,10788,20250204
20250201,1호선,신설동,9572,9251,20250204
20250201,1호선,제기동,14073,14984,20250204
20250201,1호선,청량리(서울시립대입구),19687,19500,20250204
20250201,1호선,동묘앞,12565,13744,20250204
20250201,2호선,시청,18423,12720,20250204
20250201,2호선,을지로입구,32845,31052,20250204
20250201,2호선,을지로3가,14141,13564,20250204
20250201,2호선,을지로4가,7931,8092,20250204
20250201,2호선,동대문역사문화공원(DDP),11854,13294,20250204
20250201,2호선,신당,11563,12534,20250204
20250201,2호선,상왕십리,9331,9062,20250204
20250201,2호선,왕십리(성동구청),11193,11587,20250204
20250201,2호선,한양대,3548,3754,20250204
20250201,2호선,뚝섬,15074,14891,20250204
20250201,2호선,성수,32079,35898,20250204
20250201,2호선,건대입구,32800,35114,20250204
20250201,2호선,구의(광진구청),16882,16618,20250204
20250201,2호선,강변(동서울터미널),23856,20531,20250204
20250201,2호선,잠실나루,7713,7540,20250204
20250201,2호선,잠실(송파구청),67606,64050,20250204
20250201,2호선,잠실새내,17388,18064,20250204
20250201,2호선,종합운동장,4601,4997,20250204
20250201,2호선,삼성(무역센터),26527,26352,20250204
20250201,2호선,선릉,23511,20872,20250204
20250201,2호선,역삼,15631,17453,20250204
20250201,2호선,강남,56413,56326,20250204
20250201,2호선,교대(법원.검찰청),15067,18519,20250204
20250201,2호선,서초,9923,9244,20250204
20250201,2호선,방배,8935,8872,20250204
20250201,2호선,사당,33046,35959,20250204
20250201,2호선,낙성대(강감찬),18637,17884,20250204
20250201,2호선,서울대입구(관악구청),32683,32615,20250204
20250201,2호선,봉천,17193,16336,20250204
20250201,2호선,신림,42018,42327,20250204
20250201,2호선,신대방,18502,17750,20250204
20250201,2호선,구로디지털단지,34916,34452,20250204
20250201,2호선,대림(구로구청),18107,18686,20250204
20250201,2호선,신도림,38601,38678,20250204
20250201,2호선,문래,12784,13824,20250204
20250201,2호선,영등포구청,13263,14017,20250204
20250201,2호선,당산,11850,12404,20250204
20250201,2호선,합정,27469,32217,20250204
20250201,2호선,홍대입구,79769,90844,20250204
20250201,2호선,신촌,28596,29918,20250204
20250201,2호선,이대,11614,12756,20250204
20250201,2호선,아현,7500,7115,20250204
20250201,2호선,충정로(경기대입구),5012,5111,20250204
20250201,2호선,용답,2021,1982,20250204
20250201,2호선,신답,966,1074,20250204
20250201,2호선,신설동,2987,3056,20250204
20250201,2호선,도림천,818,847,20250204
20250201,2호선,양천구청,4370,4274,20250204
20250201,2호선,신정네거리,7079,6892,20250204
20250201,2호선,용두(동대문구청),1767,1752,20250204
20250201,3호선,지축,5188,4968,20250204
20250201,3호선,구파발,15794,16011,20250204
20250201,3호선,연신내,29275,28060,20250204
20250201,3호선,불광,13071,14493,20250204
20250201,3호선,녹번,9774,9037,20250204
20250201,3호선,홍제,13302,12960,20250204
20250201,3호선,무악재,2925,2988,20250204
20250201,3호선,독립문,6424,6364,20250204
20250201,3호선,경복궁(정부서울청사),25944,29621,20250204
20250201,3호선,안국,21592,24486,20250204
20250201,3호선,종로3가,7852,10126,20250204
20250201,3호선,을지로3가,7004,6712,20250204
20250201,3호선,충무로,2,0,20250204
20250201,3호선,동대입구,7520,8724,20250204
20250201,3호선,약수,9004,8657,20250204
20250201,3호선,금호,5848,5508,20250204
20250201,3호선,옥수,6504,6543,20250204
20250201,3호선,압구정,22880,23921,20250204
20250201,3호선,신사,20422,21441,20250204
20250201,3호선,잠원,3368,3156,20250204
20250201,3호선,고속터미널,52090,45466,20250204
20250201,3호선,교대(법원.검찰청),8713,4325,20250204
20250201,3호선,남부터미널(예술의전당),24059,22831,20250204
20250201,3호선,양재(서초구청),17655,19043,20250204
20250201,3호선,매봉,6260,6098,20250204
20250201,3호선,도곡,3427,3264,20250204
20250201,3호선,대치,10462,9178,20250204
20250201,3호선,학여울,1208,1169,20250204
20250201,3호선,대청,6289,5963,20250204
20250201,3호선,일원,5135,4947,20250204
20250201,3호선,수서,13810,13082,20250204
20250201,3호선,가락시장,5934,5825,20250204
20250201,3호선,경찰병원,4058,4118,20250204
20250201,3호선,오금,3637,3525,20250204
20250201,4호선,당고개,7207,6492,20250204
20250201,4호선,상계,14397,13270,20250204
20250201,4호선,노원,17368,19823,20250204
20250201,4호선,창동,20254,21056,20250204
20250201,4호선,쌍문,21318,19646,20250204
20250201,4호선,수유(강북구청),25910,25873,20250204
20250201,4호선,미아(서울사이버대학),11250,10401,20250204
20250201,4호선,미아사거리,20079,19741,20250204
20250201,4호선,길음,14201,13854,20250204
20250201,4호선,성신여대입구(돈암),16739,16777,20250204
20250201,4호선,한성대입구(삼선교),10277,10099,20250204
20250201,4호선,혜화,30709,32096,20250204
20250201,4호선,동대문,13527,14172,20250204
20250201,4호선,동대문역사문화공원(DDP),15425,12770,20250204
20250201,4호선,충무로,14762,15806,20250204
20250201,4호선,명동,29046,30914,20250204
20250201,4호선,회현(남대문시장),21000,21987,20250204
20250201,4호선,서울역,6290,15221,20250204
20250201,4호선,숙대입구(갈월),9855,9399,20250204
20250201,4호선,삼각지,5271,6766,20250204
20250201,4호선,신용산,15511,16440,20250204
20250201,4호선,이촌(국립중앙박물관),9757,10538,20250204
20250201,4호선,동작(현충원),1274,1313,20250204
20250201,4호선,총신대입구(이수),14312,15693,20250204
20250201,4호선,사당,19911,19333,20250204
20250201,4호선,남태령,950,660,20250204
20250201,5호선,방화,4836,4674,20250204
20250201,5호선,개화산,4009,3869,20250204
20250201,5호선,김포공항,10781,6496,20250204
20250201,5호선,송정,4895,4598,20250204
20250201,5호선,마곡,6214,6372,20250204
20250201,5호선,발산,13510,14690,20250204
20250201,5호선,우장산,10254,10092,20250204
20250201,5호선,화곡,19628,18624,20250204
20250201,5호선,까치산,19821,19041,20250204
20250201,5호선,신정(은행정),8749,7556,20250204
20250201,5호선,목동,10874,11147,20250204
20250201,5호선,오목교(목동운동장앞),15747,16114,20250204
20250201,5호선,양평,3888,3783,20250204
20250201,5호선,영등포구청,2486,2406,20250204
20250201,5호선,영등포시장,7969,8222,20250204
20250201,5호선,신길,2957,3174,20250204
20250201,5호선,여의도,11501,11951,20250204
20250201,5호선,여의나루,6241,7601,20250204
20250201,5호선,마포,7987,7937,20250204
20250201,5호선,공덕,7517,7718,20250204
20250201,5호선,애오개,3712,3544,20250204
20250201,5호선,충정로(경기대입구),1913,1716,20250204
20250201,5호선,서대문,7610,7174,20250204
20250201,5호선,광화문(세종문화회관),33401,35579,20250204
20250201,5호선,종로3가,14676,15417,20250204
20250201,5호선,을지로4가,3639,3926,20250204
20250201,5호선,동대문역사문화공원(DDP),1306,1581,20250204
