연번,호선,역명,관리번호,역내안전설비 구분,지상지하구분,역층,역층구분,소화기종류,보유대수,데이터 기준일자
1,1호선,서울(1),1,소화기,지하,B2,승강장,1,12,2025-03-10
2,1호선,서울(1),2,소화기,지하,B1,대합실,1,34,2025-03-10
3,4호선,서울(4),1,소화기,지하,B2,승강장,1,14,2025-03-10
4,4호선,서울(4),2,소화기,지하,B1,대합실,1,28,2025-03-10
5,1호선,시청(1),1,소화기,지하,B1,대합실,1,37,2025-03-10
6,1호선,시청(1),2,소화기,지하,B2,"승강장, 환승통로",1,31,2025-03-10
7,1호선,종각,1,소화기,지하,B1,대합실,1,28,2025-03-10
8,1호선,종각,2,소화기,지하,B2,승강장,1,22,2025-03-10
9,1호선,종로5가(1),1,소화기,지하,B1,대합실,4,2,2025-03-10
10,1호선,종로5가(1),2,소화기,지하,B1,대합실,1,30,2025-03-10
11,1호선,종로5가(1),3,소화기,지하,B2,승강장,1,18,2025-03-10
12,1호선,동묘앞(1),1,소화기,지하,B2,연결통로,1,5,2025-03-10
13,1호선,동묘앞(1),2,소화기,지하,B1,승강장,1,27,2025-03-10
14,1호선,동묘앞(1),3,소화기,지하,M1,대합실,1,6,2025-03-10
15,1호선,동묘앞(1),4,소화기,지상,M2,대합실,1,5,2025-03-10
16,1호선,신설동(1),1,소화기,지하,B1,연결통로,1,14,2025-03-10
17,1호선,신설동(1),2,소화기,지하,B2,승강장,1,32,2025-03-10
18,2호선,신설동(2),1,소화기,지하,B1,대합실,1,15,2025-03-10
19,2호선,신설동(2),2,소화기,지하,B2,승강장,1,32,2025-03-10
20,2호선,신설동(2),3,소화기,지하,B1,환승통로,1,13,2025-03-10
21,1호선,제기동,1,소화기,지하,B2,승강장,1,16,2025-03-10
22,1호선,제기동,2,소화기,지하,B1,연결통로,1,22,2025-03-10
23,1호선,청량리,1,소화기,지하,B1,승강장,1,14,2025-03-10
24,1호선,청량리,2,소화기,지하,B2,대합실,1,27,2025-03-10
25,2호선,용두,1,소화기,지하,B1,승강장,1,26,2025-03-10
26,2호선,용두,2,소화기,지하,B2,연결통로,1,4,2025-03-10
27,2호선,신답,1,소화기,지상,M1,대합실,1,14,2025-03-10
28,2호선,신답,2,소화기,지상,M2,승강장,1,10,2025-03-10
29,2호선,시청(2),1,소화기,지하,B1,대합실,1,15,2025-03-10
30,2호선,시청(2),2,소화기,지하,B2,대합실,1,31,2025-03-10
31,2호선,시청(2),3,소화기,지하,B3,승강장,1,16,2025-03-10
32,2호선,을지로입구,1,소화기,지하,B1,대합실,1,31,2025-03-10
33,2호선,을지로입구,2,소화기,지하,B2,승강장,1,20,2025-03-10
34,2호선,을지로3가(2),1,소화기,지하,B1,대합실,1,20,2025-03-10
35,2호선,을지로3가(2),2,소화기,지하,B2,승강장,1,34,2025-03-10
36,2호선,을지로3가(3),1,소화기,지하,B1,대합실,1,21,2025-03-10
37,2호선,을지로3가(3),2,소화기,지하,B2,연결통로,1,21,2025-03-10
38,2호선,을지로3가(3),3,소화기,지하,B3,승강장,1,18,2025-03-10
39,2호선,을지로4가(2),1,소화기,지하,B1,대합실,1,21,2025-03-10
40,2호선,을지로4가(2),2,소화기,지하,B2,승강장,1,20,2025-03-10
41,5호선,을지로4가(5),1,소화기,지하,B1,대합실,1,7,2025-03-10
42,5호선,을지로4가(5),2,소화기,지하,B2,대합실,1,8,2025-03-10
43,5호선,을지로4가(5),3,소화기,지하,B3,대합실,1,4,2025-03-10
44,5호선,을지로4가(5),4,소화기,지하,B4,대합실,1,14,2025-03-10
45,5호선,을지로4가(5),5,소화기,지하,B5,승강장,1,13,2025-03-10
46,2호선,동대문역사문화공원(2),1,소화기,지하,B1,대합실,1,20,2025-03-10
47,2호선,동대문역사문화공원(2),2,소화기,지하,B2,승강장,1,21,2025-03-10
48,4호선,동대문역사문화공원(4),1,소화기,지하,B1,대합실,1,24,2025-03-10
49,4호선,동대문역사문화공원(4),2,소화기,지하,B2,대합실,1,9,2025-03-10
50,4호선,동대문역사문화공원(4),3,소화기,지하,B3,승강장,1,16,2025-03-10
51,2호선,신당(2),1,소화기,지하,B1,대합실,1,27,2025-03-10
52,2호선,신당(2),2,소화기,지하,B2,승강장,1,28,2025-03-10
53,6호선,신당(6),1,소화기,지하,B1,대합실,1,16,2025-03-10
54,6호선,신당(6),2,소화기,지하,B2,대합실,1,13,2025-03-10
55,6호선,신당(6),3,소화기,지하,B3,승강장,1,13,2025-03-10
56,2호선,상왕십리,1,소화기,지하,B1,대합실,1,24,2025-03-10
57,2호선,상왕십리,2,소화기,지하,B2,승강장,1,20,2025-03-10
58,2호선,왕십리(2),1,소화기,지하,B1,대합실,1,30,2025-03-10
59,2호선,왕십리(2),2,소화기,지하,B2,승강장,1,22,2025-03-10
60,5호선,왕십리(5),1,소화기,지하,B1,대합실,1,11,2025-03-10
61,5호선,왕십리(5),2,소화기,지하,B2,대합실,1,8,2025-03-10
62,5호선,왕십리(5),3,소화기,지하,B3,대합실,1,7,2025-03-10
63,5호선,왕십리(5),4,소화기,지하,B4,대합실,1,6,2025-03-10
64,5호선,왕십리(5),5,소화기,지하,B5,승강장,1,14,2025-03-10
65,2호선,한양대,1,소화기,지상,M1,승강장,1,37,2025-03-10
66,2호선,한양대,2,소화기,지상,M2,대합실,1,24,2025-03-10
67,2호선,뚝섬,1,소화기,지상,M2,대합실,1,30,2025-03-10
68,2호선,뚝섬,2,소화기,지상,M3,승강장,1,11,2025-03-10
69,2호선,성수,1,소화기,지상,M2,대합실,1,40,2025-03-10
70,2호선,성수,2,소화기,지상,M3,승강장,1,15,2025-03-10
71,2호선,건대입구(2),1,소화기,지상,M2,대합실,1,31,2025-03-10
72,2호선,건대입구(2),2,소화기,지상,M3,승강장,1,20,2025-03-10
73,7호선,건대입구(7),1,소화기,지하,B1,연결통로,1,2,2025-03-10
74,7호선,건대입구(7),2,소화기,지하,B2,"대합실, 승강장",1,25,2025-03-10
