역명,소화기_수량,화재용 긴급대피마스크_수량,면적,소화기_밀도,마스크_밀도
학여울,47.0,200.0,28768.4,0.001633737017004769,0.0069520724127862515
남부터미널,36.0,200.0,14336.539,0.0025110663040779926,0.013950368355988847
여의나루,28.0,250.0,10598.9,0.002641783581315042,0.023587353404598593
온수,49.0,250.0,18459.41,0.002654472705248976,0.01354322808800498
중계,26.0,200.0,9146.31,0.0028426764454736395,0.021866741888258764
논현,35.0,250.0,11834.56,0.0029574399048211343,0.02112457074872239
창신,21.0,250.0,7085.16,0.002963941534136138,0.03528501826352545
상도,25.0,200.0,8419.02,0.002969466755037997,0.023755734040303976
양평,29.0,250.0,9761.04,0.002970994893986706,0.02561202494816126
화곡,28.0,250.0,9127.66,0.003067598924587463,0.02738927611238806
천왕,34.0,200.0,11025.75,0.0030836904518966963,0.01813935559939233
여의도,40.0,300.0,12889.57,0.003103284283339165,0.023274632125043736
대흥,29.0,200.0,9147.54,0.003170251236944577,0.02186380163410053
내방,32.0,250.0,9963.89,0.0032115970770452106,0.025090602164415707
한강진,31.0,200.0,9495.25,0.003264790289881783,0.021063163160527632
상월곡,32.0,150.0,9528.72,0.0033582684767733757,0.0157418834848752
남성,30.0,196.0,8852.22,0.003388980391359456,0.022141338556881777
개롱,22.0,150.0,6440.22,0.0034160323715649466,0.023291129806124633
가산디지털단지,43.0,310.0,12551.53,0.003425877163979212,0.024698184205431527
미사,49.0,150.0,14021.59,0.0034946108108994773,0.010697788196631053
봉화산,35.0,150.0,9799.81,0.0035714978147535514,0.01530641920608665
강동,69.0,200.0,18984.55,0.00363453439770761,0.010534882312195971
철산,27.0,300.0,7406.21,0.0036455893095118826,0.04050654788346536
마포,30.0,250.0,8193.4,0.00366148363316816,0.030512363609734666
장승배기,34.0,200.0,9111.6,0.0037315070898634706,0.021950041705079238
녹사평,40.0,250.0,10677.55,0.003746177728036863,0.02341361080023039
영등포시장,51.0,255.0,13548.16,0.003764348811941991,0.018821744059709954
대청,36.0,200.0,9540.531,0.003773374878190742,0.020963193767726342
반포,47.0,200.0,12401.82,0.0037897663407467615,0.016126665279773453
보문,25.0,200.0,6587.59,0.0037950145652659016,0.030360116522127212
올림픽공원,30.0,200.0,7889.94,0.0038023102837283934,0.025348735224855957
수락산,40.0,200.0,10488.21,0.003813806169022169,0.019069030845110847
이태원,30.0,200.0,7799.15,0.003846573023983383,0.02564382015988922
공릉,33.0,250.0,8554.58,0.003857582721770093,0.02922411152856131
영등포구청,89.0,550.0,23052.81,0.0038607007128415144,0.023858262832166664
천호,51.0,550.0,13187.9,0.0038671812798095223,0.041704896154808574
신길,45.0,736.0,11574.76,0.0038877695952227085,0.06358663160186474
광흥창,30.0,200.0,7675.72,0.003908428134429083,0.02605618756286055
마포구청,33.0,250.0,8423.57,0.003917578888760941,0.029678627945158645
모란,39.0,200.0,9918.77,0.003931939141647603,0.02016379046998771
화랑대,40.0,150.0,10107.22,0.00395756696698004,0.014840876126175151
광화문,40.0,250.0,10051.28,0.003979592648896459,0.024872454055602868
