역코드,역명,위도,경도,품목명,수량,유효기간일,제조년월일,기준일자
150,서울역(1호선),37.55315,126.972533,화재용 긴급대피마스크,250,2027-03-31,2022-03-31,2025-03-10
151,시청역(1호선),37.56359,126.975407,화재용 긴급대피마스크,250,2027-03-01,2022-03-01,2025-03-10
152,종각역,37.570203,126.983116,화재용 긴급대피마스크,160,2027-02-28,2022-02-28,2025-03-10
152,종각역,37.570203,126.983116,화재용 긴급대피마스크,40,2027-03-31,2022-03-31,2025-03-10
154,종로5가역,37.570971,127.0019,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
156,신설동역(1호선),37.576117,127.02471,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
157,제기동역,37.578116,127.034902,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
158,청량리역,37.580148,127.045063,화재용 긴급대피마스크,199,2027-03-31,2022-03-31,2025-03-10
159,동묘앞역(1호선),37.573265,127.016459,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
201,시청역(2호선),37.563534,126.975271,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
246,신설동역(2호선),37.574653,127.025158,화재용 긴급대피마스크,195,2027-02-01,2022-02-01,2025-03-10
250,용두역,37.574012,127.03811,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
426,서울역(4호선),37.553172,126.972836,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
202,을지로입구역,37.565998,126.982569,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
203,을지로3가역(2호선),37.566292,126.991773,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
204,을지로4가역(2호선),37.566611,126.998122,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
205,동대문역사문화공원역(2호선),37.565597,127.009113,화재용 긴급대피마스크,250,2027-03-01,2022-03-01,2025-03-10
206,신당역(2호선),37.565681,127.019488,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
207,상왕십리역,37.564504,127.028872,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
208,왕십리역(2호선),37.561159,127.035505,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
210,뚝섬역,37.54718,127.047413,화재용 긴급대피마스크,8,2023-06-13,2018-06-13,2025-03-10
320,을지로3가역(3호선),37.566299,126.992616,화재용 긴급대피마스크,200,2027-02-28,2022-02-28,2025-03-10
422,동대문역사문화공원역(4호선),37.565083,127.007645,화재용 긴급대피마스크,242,2027-03-31,2022-03-31,2025-03-10
2536,을지로4가역(5호선),37.56658,126.998127,화재용 긴급대피마스크,200,2027-08-03,2022-08-03,2025-03-10
2541,왕십리역(5호선),37.56197,127.037264,화재용 긴급대피마스크,290,2027-07-28,2022-07-28,2025-03-10
2541,왕십리역(5호선),37.56197,127.037264,화재용 긴급대피마스크,10,2027-08-02,2022-08-02,2025-03-10
2636,신당역(6호선),37.560221,127.013776,화재용 긴급대피마스크,200,2027-08-18,2022-08-18,2025-03-10
2636,신당역(6호선),37.560221,127.013776,화재용 긴급대피마스크,100,2027-09-19,2022-09-19,2025-03-10
216,잠실역(2호선),37.513305,127.100129,화재용 긴급대피마스크,250,2027-03-31,2022-03-31,2025-03-10
217,잠실새내역,37.520731,127.103738,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
218,종합운동장역,37.511008,127.073641,화재용 긴급대피마스크,200,2027-03-31,2022-03-31,2025-03-10
219,삼성역,37.508827,127.063203,화재용 긴급대피마스크,250,2027-03-31,2022-03-31,2025-03-10
220,선릉역,37.504257,127.048174,화재용 긴급대피마스크,250,2026-03-31,2021-03-31,2025-03-10
