역명,화재용 긴급대피마스크_수량
뚝섬,8
명일,144
발산,150
구산,150
마천,150
역촌,150
석촌,150
미사,150
봉화산,150
문정,150
송정,150
월드컵경기장,150
송파,150
몽촌토성,150
수진,150
방이,150
방화,150
신흥,150
거여,150
화랑대,150
마곡,150
강동구청,150
강일,150
개롱,150
개화산,150
상일동,150
독바위,150
보라매,150
고덕,150
하남풍산,150
하남검단산,150
상월곡,150
하남시청,170
경복궁,190
혜화,194
남성,196
애오개,199
길동,199
청량리,199
장한평,199
방배,199
수유,200
상수,200
상왕십리,200
신촌,200
신정네거리,200
회현,200
서초,200
신풍,200
신용산,200
신사,200
신림,200
신대방삼거리,200
숙대입구,200
수락산,200
수서,200
서울대입구,200
올림픽공원,200
아현,200
종각,200
종로5가,200
종합운동장,200
중계,200
중곡,200
중화,200
제기동,200
증산,200
청담,200
하계,200
학여울,200
한강진,200
한성대입구,200
홍제,200
천왕,200
장지,200
장승배기,200
잠원,200
안국,200
암사,200
압구정,200
양재,200
양천구청,200
역삼,200
용두,200
용마산,200
우장산,200
을지로입구,200
이대,200
이촌,200
이태원,200
일원,200
잠실새내,200
쌍문,200
상도,200
효창공원앞,200
마장,200
매봉,200
망원,200
광나루,200
마들,200
둔촌동,200
동대입구,200
광흥창,200
돌곶이,200
독립문,200
구파발,200
고려대,200
도림천,200
굽은다리,200
대흥,200
대치,200
금호,200
길음,200
낙성대,200
대청,200
남부터미널,200
남태령,200
단대오거리,200
도곡,200
경찰병원,200
녹번,200
강동,200
보문,200
미아,200
무악재,200
반포,200
미아사거리,200
먹골,200
명동,200
봉천,200
모란,200
성신여대입구,204
문래,205
목동,210
석계,246
김포공항,250
사가정,250
복정,250
홍대입구,250
삼성,250
강남,250
화곡,250
답십리,250
산성,250
월곡,250
논현,250
남한산성입구,250
내방,250
녹사평,250
온수,250
버티고개,250
행당,250
여의나루,250
학동,250
신금호,250
공릉,250
신도림,250
마포구청,250
마포,250
신정,250
응암,250
디지털미디어시티,250
광화문,250
아차산,250
선릉,250
창신,250
안암,250
서대문,250
양평,250
어린이대공원,250
새절,250
가락시장,250
영등포시장,255
노원,300
광명사거리,300
숭실대입구,300
철산,300
면목,300
오금,300
까치산,300
여의도,300
남구로,300
오목교,300
가산디지털단지,310
상봉,350
강남구청,350
건대입구,350
대림,350
신설동,395
을지로4가,400
을지로3가,400
동대문,400
충무로,400
불광,400
교대,400
삼각지,447
동묘앞,450
약수,450
서울,450
시청,450
사당,480
합정,499
왕십리,500
연신내,500
충정로,500
신당,500
청구,500
태릉입구,540
이수,550
천호,550
영등포구청,550
공덕,550
군자,600
고속터미널,600
잠실,600
신길,736
종로3가,800
동대문역사문화공원,892
