연번,호선,대분류,중분류,소분류,단위,수량
1,1호선,공조설비,냉동기,,대,20
2,1호선,공조설비,냉각탑,,대,20
3,1호선,공조설비,공조기,,대,43
4,1호선,공조설비,냉방펌프,,대,62
5,1호선,공조설비,역사,급기,대,18
6,1호선,공조설비,역사,배기,대,89
7,1호선,공조설비,본선,급기,대,0
8,1호선,공조설비,본선,배기,대,8
9,1호선,소방설비,소화전,옥내,개,105
10,1호선,소방설비,소화전,옥외,개,0
11,1호선,소방설비,가스계 용기, ,병,188
12,1호선,소방설비,소방펌프, ,대,26
13,1호선,소방설비,연결송수구, ,개,30
14,1호선,소방설비,감지기,연기,개,990
15,1호선,소방설비,감지기,열,개,11
16,1호선,소방설비,발신기, ,조,170
17,1호선,소방설비,피난구유도등, ,개,1133
18,1호선,소방설비,SP헤드, ,개,8126
19,1호선,소방설비,종합방재반, ,면,10
20,1호선,위생설비,펌프,배수펌프,대,58
21,1호선,위생설비,펌프,생활하수,대,4
22,1호선,위생설비,펌프,기타(재활용등),대,17
23,1호선,위생설비,펌프,오수펌프,대,24
24,1호선,위생설비,펌프,급수펌프,대,15
25,1호선,위생설비,기구,대변기,개,204
26,1호선,위생설비,기구,소변기,개,66
27,1호선,위생설비,기구,세면기,개,89
28,2호선,공조설비,냉동기,,대,63
29,2호선,공조설비,냉각탑,,대,65
30,2호선,공조설비,공조기,,대,177
31,2호선,공조설비,냉방펌프,,대,206
32,2호선,공조설비,역사,급기,대,123
33,2호선,공조설비,역사,배기,대,575
34,2호선,공조설비,본선,급기,대,36
35,2호선,공조설비,본선,배기,대,99
36,2호선,소방설비,소화전,옥내,개,641
37,2호선,소방설비,소화전,옥외,개,0
38,2호선,소방설비,가스계 용기, ,병,922
39,2호선,소방설비,소방펌프, ,대,201
40,2호선,소방설비,연결송수구, ,개,175
41,2호선,소방설비,감지기,연기,개,4949
42,2호선,소방설비,감지기,열,개,232
43,2호선,소방설비,발신기, ,조,852
44,2호선,소방설비,피난구유도등, ,개,4992
45,2호선,소방설비,SP헤드, ,개,36544
46,2호선,소방설비,종합방재반, ,면,50
47,2호선,위생설비,펌프,배수펌프,대,179
48,2호선,위생설비,펌프,생활하수,대,7
49,2호선,위생설비,펌프,기타(재활용등),대,45
50,2호선,위생설비,펌프,오수펌프,대,102
51,2호선,위생설비,펌프,급수펌프,대,98
52,2호선,위생설비,기구,대변기,개,998
53,2호선,위생설비,기구,소변기,개,355
54,2호선,위생설비,기구,세면기,개,427
55,3호선,공조설비,냉동기,,대,29
56,3호선,공조설비,냉각탑,,대,29
57,3호선,공조설비,공조기,,대,144
58,3호선,공조설비,냉방펌프,,대,102
59,3호선,공조설비,역사,급기,대,132
60,3호선,공조설비,역사,배기,대,447
61,3호선,공조설비,본선,급기,대,84
62,3호선,공조설비,본선,배기,대,114
63,3호선,소방설비,소화전,옥내,개,486
64,3호선,소방설비,소화전,옥외,개,0
65,3호선,소방설비,가스계 용기, ,병,925
66,3호선,소방설비,소방펌프, ,대,144
67,3호선,소방설비,연결송수구, ,개,78
68,3호선,소방설비,감지기,연기,개,3284
69,3호선,소방설비,감지기,열,개,310
70,3호선,소방설비,발신기, ,조,658
71,3호선,소방설비,피난구유도등, ,개,3910
72,3호선,소방설비,SP헤드, ,개,25243
73,3호선,소방설비,종합방재반, ,면,34
74,3호선,위생설비,펌프,배수펌프,대,162
75,3호선,위생설비,펌프,생활하수,대,26
76,3호선,위생설비,펌프,기타(재활용등),대,60
77,3호선,위생설비,펌프,오수펌프,대,70
78,3호선,위생설비,펌프,급수펌프,대,60
79,3호선,위생설비,기구,대변기,개,523
80,3호선,위생설비,기구,소변기,개,194
81,3호선,위생설비,기구,세면기,개,240
82,4호선,공조설비,냉동기,,대,32
83,4호선,공조설비,냉각탑,,대,31
84,4호선,공조설비,공조기,,대,95
85,4호선,공조설비,냉방펌프,,대,108
86,4호선,공조설비,역사,급기,대,74
87,4호선,공조설비,역사,배기,대,329
88,4호선,공조설비,본선,급기,대,22
89,4호선,공조설비,본선,배기,대,64
90,4호선,소방설비,소화전,옥내,개,362
91,4호선,소방설비,소화전,옥외,개,22
92,4호선,소방설비,가스계 용기, ,병,608
93,4호선,소방설비,소방펌프, ,대,101
94,4호선,소방설비,연결송수구, ,개,59
95,4호선,소방설비,감지기,연기,개,2841
96,4호선,소방설비,감지기,열,개,44
97,4호선,소방설비,발신기, ,조,494
98,4호선,소방설비,피난구유도등, ,개,2706
99,4호선,소방설비,SP헤드, ,개,22324
100,4호선,소방설비,종합방재반, ,면,25
101,4호선,위생설비,펌프,배수펌프,대,85
102,4호선,위생설비,펌프,생활하수,대,15
103,4호선,위생설비,펌프,기타(재활용등),대,36
104,4호선,위생설비,펌프,오수펌프,대,52
105,4호선,위생설비,펌프,급수펌프,대,63
106,4호선,위생설비,기구,대변기,개,514
107,4호선,위생설비,기구,소변기,개,185
