역명,역별_하루_평균유동인구
가락시장,13868.755610290093
가산디지털단지,65980.42747673782
강남,134036.85112205803
강남구청,27230.5960591133
강동,28539.31089217296
강동구청,16350.25068418172
강변(동서울터미널),51474.7772304324
강일,7621.517016654598
개롱,10200.965517241379
개화산,8548.64039408867
거여,13827.617405582923
건대입구,43505.21483305966
경복궁(정부서울청사),38585.89107827039
경찰병원,11443.203612479474
고덕,14843.275862068966
고려대(종암),13175.63929939792
고속터미널,53418.6964969896
공덕,25862.388067870826
공릉(서울과학기술대),19249.265462506843
광나루(장신대),20440.56923918993
광명사거리,33560.25396825397
광화문(세종문화회관),51968.89053092501
광흥창(서강),14020.673234811165
교대(법원.검찰청),37662.87055281883
구로디지털단지,90994.60207991242
구산,10463.83141762452
구의(광진구청),37646.62397372742
구파발,32376.758620689656
군자(능동),20522.885331143952
굴포천,12909.130968622101
굽은다리(강동구민회관앞),14747.416529830323
금호,12520.11439518336
길동,13165.743842364533
길음,32260.137383689107
김포공항,13595.973727422002
까치산,43524.70826491516
까치울,10525.967567567568
낙성대,46491.01666666667
낙성대(강감찬),44023.01528013582
남구로,23943.79365079365
남부터미널(예술의전당),48768.54296661193
남성,17321.72249589491
남위례,10888.737173717373
남태령,1935.4827586206898
남한산성입구(성남법원.검찰청),20220.660098522167
내방,23061.145046524358
노원,35868.33059660646
녹번,22007.29392446634
녹사평(용산구청),8753.724137931034
논현,31064.297208538588
단대오거리,16878.621784345924
답십리,24488.730706075534
당고개,16235.199233716476
당산,31738.943076081006
대림(구로구청),26977.069786535303
대청,15203.20197044335
대치,18472.45429666119
대흥(서강대앞),14279.109469074987
도곡,8468.946360153257
도림천,2091.912424740011
도봉산,15406.256704980842
독립문,12154.293924466338
독바위,4441.986316365626
돌곶이,14283.628352490421
동대문,26544.505199781062
동대문역사문화공원(DDP),19703.840918668353
동대문역사문화공원(DDP)(DDP),15209.975510204082
동대입구,16374.447728516694
동묘앞,16008.319923371648
동작(현충원),4048.625068418172
둔촌동,13606.410509031199
디지털미디어시티,22181.92337164751
뚝섬,38233.19978106185
뚝섬유원지,14854.030243261013
마곡,16062.32512315271
마들,18684.571428571428
마장,8926.096332785988
마천,10044.138478379858
마포,22769.00328407225
마포구청,21572.040503557746
망원,25972.11001642036
매봉,18756.374384236453
먹골,16092.388067870826
면목,23767.613574165298
명동,45534.52599890531
명일,13595.910782703886
모란,7278.018609742748
목동,27124.3798576902
몽촌토성(평화의문),10457.526546250685
무악재,6543.649151614669
문래,34482.95073891625
문정,33141.84345922277
미사,25939.0682382134
미아(서울사이버대학),23726.728516694035
미아사거리,43347.91023535851
반포,9625.180623973727
발산,34037.4017515052
방배,27730.912972085385
방이,11676.908593322387
방화,10381.966064586753
버티고개,3498.609742747674
보라매,13087.455391351943
보문,11644.95019157088
복정,14218.626710454297
봉천,36845.34920634921
봉화산(서울의료원),12951.187739463601
부천시청,17681.014945652172
부천종합운동장,6167.549931600547
부평구청,12610.6621253406
불광,17727.06732348112
사가정,25596.126984126986
사당,53442.34592227696
산성,9080.101806239738
삼각지,10182.758073344281
삼산체육관,6469.8133514986375
삼성(무역센터),85451.55610290093
상계,28436.802955665025
상도,17774.27093596059
상동,19154.378231292518
상봉,29684.142076502732
상봉(시외버스터미널),26023.031485284053
상수,17243.854406130267
상왕십리,22386.897099069512
상월곡(한국과학기술연구원),9518.925013683634
상일동,21409.23645320197
새절(신사),19056.981390257253
서대문,28674.257252326217
서울대입구(관악구청),76040.44006568144
서울역,51771.98494800219
서초,33715.29939792009
석계,19599.978106185004
석촌,14113.28735632184
선릉,81779.1855500821
성수,64566.10454296661
성신여대입구(돈암),34273.772304324026
송정,10144.102900930488
송파,13522.771756978653
수락산,20065.37876299945
수서,29203.418719211822
수유(강북구청),54823.69622331691
수진,8251.979748221127
숙대입구(갈월),22729.070060207992
숭실대입구(살피재),21438.16091954023
시청,37694.531198686374
신금호,10153.085385878489
신길,7000.083743842364
신내,0.0
신답,2747.463054187192
신당,18943.141762452105
신대방,40598.188286808974
신대방삼거리,24117.604269293923
신도림,79787.96606458676
신림,94183.94581280788
신사,50454.313628899836
신설동,14306.784893267652
신용산,29738.854953475642
신정(은행정),18401.05637657362
신정네거리,15779.708264915162
신중동,20340.095108695652
신촌,62497.881773399014
신풍,17412.899835796386
신흥,7945.5889436234265
